Epiweek,Start,End,MT_epiweek
2019-9,2/24/2019,3/2/2019,28.37357895
2019-10,3/3/2019,3/9/2019,28.63479969
2019-11,3/10/2019,3/16/2019,28.57415966
2019-12,3/17/2019,3/23/2019,28.80210901
2019-13,3/24/2019,3/30/2019,28.70002109
2019-14,3/31/2019,4/6/2019,28.15487554
2019-15,4/7/2019,4/13/2019,28.79948457
2019-16,4/14/2019,4/20/2019,29.37120062
2019-17,4/21/2019,4/27/2019,28.15127158
2019-18,4/28/2019,5/4/2019,29.14036875
2019-19,5/5/2019,5/11/2019,29.12558015
2019-20,5/12/2019,5/18/2019,28.79804197
2019-21,5/19/2019,5/25/2019,28.73444151
2019-22,5/26/2019,6/1/2019,29.06107596
2019-23,6/2/2019,6/8/2019,27.63753698
2019-24,6/9/2019,6/15/2019,28.63688291
2019-25,6/16/2019,6/22/2019,28.03642195
2019-26,6/23/2019,6/29/2019,28.9316429
2019-27,6/30/2019,7/6/2019,29.16059254
2019-28,7/7/2019,7/13/2019,28.69908387
2019-29,7/14/2019,7/20/2019,28.83536546
2019-30,7/21/2019,7/27/2019,28.42429156
2019-31,7/28/2019,8/3/2019,29.2737395
2019-32,8/4/2019,8/10/2019,28.90285774
2019-33,8/11/2019,8/17/2019,29.36058723
2019-34,8/18/2019,8/24/2019,29.3897479
2019-35,8/25/2019,8/31/2019,28.05462476
2019-36,9/1/2019,9/7/2019,29.21713911
2019-37,9/8/2019,9/14/2019,29.0837535
2019-38,9/15/2019,9/21/2019,28.99432799
2019-39,9/22/2019,9/28/2019,28.41358795
2019-40,9/29/2019,10/5/2019,27.35994285
2019-41,10/6/2019,10/12/2019,27.81807821
2019-42,10/13/2019,10/19/2019,28.36946017
2019-43,10/20/2019,10/26/2019,27.69898176
2019-44,10/27/2019,11/2/2019,27.9780328
2019-45,11/3/2019,11/9/2019,28.57639202
2019-46,11/10/2019,11/16/2019,28.13491255
2019-47,11/17/2019,11/23/2019,27.26012531
2019-48,11/24/2019,11/30/2019,27.39865738
2019-49,12/1/2019,12/7/2019,27.59828816
2019-50,12/8/2019,12/14/2019,25.34379497
2019-51,12/15/2019,12/21/2019,26.09042228
2019-52,12/22/2019,12/28/2019,27.31240608
2020-1,12/29/2019,1/4/2020,27.7014072
2020-2,1/5/2020,1/11/2020,27.38952381
2020-3,1/12/2020,1/18/2020,27.74537815
2020-4,1/19/2020,1/25/2020,27.8388333
2020-5,1/26/2020,2/1/2020,27.83125002
2020-6,2/2/2020,2/8/2020,27.82144559
2020-7,2/9/2020,2/15/2020,27.42478078
2020-8,2/16/2020,2/22/2020,27.76864233
2020-9,2/23/2020,2/29/2020,28.10992048
2020-10,3/1/2020,3/7/2020,28.21352796
2020-11,3/8/2020,3/14/2020,28.86581303
2020-12,3/15/2020,3/21/2020,28.57050099
2020-13,3/22/2020,3/28/2020,28.26428831
2020-14,3/29/2020,4/4/2020,29.02310462
2020-15,4/5/2020,4/11/2020,28.36828261
2020-16,4/12/2020,4/18/2020,29.26150893
2020-17,4/19/2020,4/25/2020,28.97268092
2020-18,4/26/2020,5/2/2020,27.88768438
2020-19,5/3/2020,5/9/2020,29.00244711
2020-20,5/10/2020,5/16/2020,29.28193623
2020-21,5/17/2020,5/23/2020,28.80092475
2020-22,5/24/2020,5/30/2020,28.83081123
2020-23,5/31/2020,6/6/2020,28.10476454
2020-24,6/7/2020,6/13/2020,28.50395735
2020-25,6/14/2020,6/20/2020,27.69486019
2020-26,6/21/2020,6/27/2020,27.57225824
2020-27,6/28/2020,7/4/2020,29.02000162
2020-28,7/5/2020,7/11/2020,27.39946517
2020-29,7/12/2020,7/18/2020,27.65099498
2020-30,7/19/2020,7/25/2020,28.06770907
2020-31,7/26/2020,8/1/2020,27.54959534
2020-32,8/2/2020,8/8/2020,29.00858193
2020-33,8/9/2020,8/15/2020,28.47203354
2020-34,8/16/2020,8/22/2020,27.88902473
2020-35,8/23/2020,8/29/2020,27.48219379
2020-36,8/30/2020,9/5/2020,27.78260646
2020-37,9/6/2020,9/12/2020,27.41397392
2020-38,9/13/2020,9/19/2020,27.15113058
2020-39,9/20/2020,9/26/2020,27.71092358
2020-40,9/27/2020,10/3/2020,27.47359126
2020-41,10/4/2020,10/10/2020,28.17777005
2020-42,10/11/2020,10/17/2020,28.75303278
2020-43,10/18/2020,10/24/2020,28.25905813
2020-44,10/25/2020,10/31/2020,28.24014573
2020-45,11/1/2020,11/7/2020,27.23899146
2020-46,11/8/2020,11/14/2020,27.92315121
2020-47,11/15/2020,11/21/2020,27.34987101
2020-48,11/22/2020,11/28/2020,26.28922002
2020-49,11/29/2020,12/5/2020,27.46028521
2020-50,12/6/2020,12/12/2020,27.57103418
2020-51,12/13/2020,12/19/2020,26.31160096
2020-52,12/20/2020,12/26/2020,27.38811027
2020-53,12/27/2020,1/2/2021,27.04855979
2021-1,1/3/2021,1/9/2021,25.49458472
2021-2,1/10/2021,1/16/2021,25.66149411
2021-3,1/17/2021,1/23/2021,26.38646362
2021-4,1/24/2021,1/30/2021,26.82505528
2021-5,1/31/2021,2/6/2021,27.0952381
2021-6,2/7/2021,2/13/2021,27.43650794
2021-7,2/14/2021,2/20/2021,26.92698413
2021-8,2/21/2021,2/27/2021,27.42706362
2021-9,2/28/2021,3/6/2021,28.4350269
2021-10,3/7/2021,3/13/2021,27.31398356
2021-11,3/14/2021,3/20/2021,27.63958627
2021-12,3/21/2021,3/27/2021,27.24805211
2021-13,3/28/2021,4/3/2021,28.34172983
2021-14,4/4/2021,4/10/2021,28.01574735
2021-15,4/11/2021,4/17/2021,27.8957986
2021-16,4/18/2021,4/24/2021,27.73814637
2021-17,4/25/2021,5/1/2021,28.20676552
2021-18,5/2/2021,5/8/2021,28.2977866
2021-19,5/9/2021,5/15/2021,28.59378537
2021-20,5/16/2021,5/22/2021,28.01799303
2021-21,5/23/2021,5/29/2021,29.34786125
2021-22,5/30/2021,6/5/2021,29.29953104
2021-23,6/6/2021,6/12/2021,29.07415833
2021-24,6/13/2021,6/19/2021,27.94260381
2021-25,6/20/2021,6/26/2021,28.20082487
2021-26,6/27/2021,7/3/2021,28.31176472
2021-27,7/4/2021,7/10/2021,27.74222286
2021-28,7/11/2021,7/17/2021,27.40297199
2021-29,7/18/2021,7/24/2021,29.31031746
2021-30,7/25/2021,7/31/2021,29.57668062
2021-31,8/1/2021,8/7/2021,28.3243697
2021-32,8/8/2021,8/14/2021,28.22560661
2021-33,8/15/2021,8/21/2021,26.80778118
2021-34,8/22/2021,8/28/2021,27.06916311
2021-35,8/29/2021,9/4/2021,27.06450208
2021-36,9/5/2021,9/11/2021,28.09446755
2021-37,9/12/2021,9/18/2021,28.50135079
2021-38,9/19/2021,9/25/2021,28.30041094
2021-39,9/26/2021,10/2/2021,27.15935265
2021-40,10/3/2021,10/9/2021,29.08637007
2021-41,10/10/2021,10/16/2021,29.50769989
2021-42,10/17/2021,10/23/2021,27.49167831
2021-43,10/24/2021,10/30/2021,28.33112359
2021-44,10/31/2021,11/6/2021,26.95012688
2021-45,11/7/2021,11/13/2021,27.0979938
2021-46,11/14/2021,11/20/2021,27.89863577
2021-47,11/21/2021,11/27/2021,27.46707046
2021-48,11/28/2021,12/4/2021,28.30397872
2021-49,12/5/2021,12/11/2021,27.59690816
2021-50,12/12/2021,12/18/2021,27.53187922
2021-51,12/19/2021,12/25/2021,27.57105642
2021-52,12/26/2021,1/1/2022,27.38611852
2022-1,1/2/2022,1/8/2022,26.70675421
2022-2,1/9/2022,1/15/2022,27.65146551
2022-3,1/16/2022,1/22/2022,27.46506175
2022-4,1/23/2022,1/29/2022,27.92283472
2022-5,1/30/2022,2/5/2022,27.96638829
2022-6,2/6/2022,2/12/2022,25.95210591
2022-7,2/13/2022,2/19/2022,27.62154269
2022-8,2/20/2022,2/26/2022,27.17694458
2022-9,2/27/2022,3/5/2022,27.22570956
2022-10,3/6/2022,3/12/2022,27.59820106
2022-11,3/13/2022,3/19/2022,28.13321716
2022-12,3/20/2022,3/26/2022,28.42575763
2022-13,3/27/2022,4/2/2022,28.41338018
2022-14,4/3/2022,4/9/2022,27.42931261
2022-15,4/10/2022,4/16/2022,28.02366278
2022-16,4/17/2022,4/23/2022,27.75354549
2022-17,4/24/2022,4/30/2022,28.45568783
2022-18,5/1/2022,5/7/2022,28.58091021
2022-19,5/8/2022,5/14/2022,29.27411613
2022-20,5/15/2022,5/21/2022,28.65873179
2022-21,5/22/2022,5/28/2022,29.03764979
2022-22,5/29/2022,6/4/2022,29.1249097
2022-23,6/5/2022,6/11/2022,27.81291212
2022-24,6/12/2022,6/18/2022,27.57922249
2022-25,6/19/2022,6/25/2022,27.21882486
2022-26,6/26/2022,7/2/2022,28.41307392
2022-27,7/3/2022,7/9/2022,28.74214951
2022-28,7/10/2022,7/16/2022,28.64859196
2022-29,7/17/2022,7/23/2022,28.68877268
2022-30,7/24/2022,7/30/2022,27.79598103
2022-31,7/31/2022,8/6/2022,27.54552486
2022-32,8/7/2022,8/13/2022,29.07662398
2022-33,8/14/2022,8/20/2022,28.27375266
2022-34,8/21/2022,8/27/2022,26.97390394
2022-35,8/28/2022,9/3/2022,27.52056374
